"DitchReservoirCompanyName","OWF_ID","OWF_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","DARCAMember","EntityStartDate","EntityStartDate_Flag","EntityEndDate","EntityEndDate_Flag","Ditch_WDID_CSV","Ditch_WDID_CSV_Flag","Reservoir_WDID_CSV","Reservoir_WDID_CSV_Flag","Latitude","Longitude","Lat_Long_Flag","Municipality","Municipality_Flag","IBCC_Basin","IBCC_Basin_Flag","Website","Website_Flag","Comment"
Farmers High Line Lateral Ditch Company,FarmersHighLineLDC,G,19871093153,G,N,1931-02-24,G,,N,,x,,x,39.881987,-104.983130,G2,Thornton,G,Metro,G1,,x,
Farmers Independent Ditch Co,FarmersIndependentDC,G,19871001377,G,Y,1876-11-11,G,,N,,x,,x,40.389487,-104.727947,G2,Greeley,G,South Platte,G1,,x,
Farmers Irrigating Ditch & Reservoir Company,FarmersIDRC,G,19871011949,G,N,1878-11-23,G,,N,,x,,x,40.421434,-105.074088,G2,Loveland,G,South Platte,G1,,x,
Farmers Irrigation Company,,x,19871073892,G,N,1921-05-16,G,,N,,x,,x,,,x,,x,,x,,x,
Farmers Reservoir And Irrigation Company,FRICO,G,19871035397,G,Y,1902-10-04,G,,N,,x,,x,39.985791,-104.790846,G2,Brighton,G,Metro,G1,http://www.farmersres.com/,G,
Feeder Ditch Company,,x,19871076236,G,N,1922-09-13,G,,N,,x,,x,,,x,,x,,x,,x,
Feldman Ditch Company,,x,19871149110,G,N,1960-07-13,G,,N,,x,,x,38.872100,-107.604000,G2,Paonia,G,Gunnison,G1,,x,
Ferran Ditch Company,,x,19951130387,G,N,1995-10-23,G,,N,,x,,x,37.210608,-107.788737,G2,Durango,G,Southwest,G1,,x,
Finley Lateral Ditch Company,FinleyLDC,G,19871121756,G,N,1952-05-02,G,,N,,x,,x,40.512559,-104.883777,G2,Windsor,G,South Platte,G1,,x,
Fire Mountain Canal And Reservoir Company,,x,19871078997,G,Y,1924-02-15,G,,N,,x,,x,38.798979,-107.724624,G2,Hotchkiss,G,Gunnison,,,x,
First & Independent Lateral Ditch Company,,x,20041078498,G,N,2004-03-03,G,2007-12-06,G,,x,,x,39.082013,-108.573075,G2,Grand Junction,G,Colorado,G1,,x,
First Avenue Pipe Line Company,,x,19871072243,G,N,1920-07-06,G,,N,,x,,x,,,x,,x,,x,,x,
First Reservoir LLC,,x,20141407943,G,N,2014-07-02,G,,N,,x,,x,39.110581,-104.909387,G2,Palmer Lake,G,Arkansas,,,x,
Fisher Ditch Company,FisherDC,G,19871073544,G,Y,1921-03-14,G,,N,,x,,x,39.751282,-104.994437,G2,Denver,G,Metro,G1,,x,
Florida Consolidated Ditch Company,,x,19871009520,G,Y,1889-05-04,G,,N,,x,,x,37.275147,-107.880474,G2,Durango,G,Southwest,G1,,x,
Florida Mesa Reservoir Company,,x,19871047240,G,N,1908-05-25,G,,N,,x,,x,,,x,,x,,x,,x,
Fogg Ditch Company,,x,19871060878,G,N,1915-04-01,G,,N,,x,,x,,,x,,x,,x,,x,
Forked Tongue/Holman Ditch Company,,x,20111251063,G,N,2011-04-27,G,,N,,x,,x,38.740025,-108.072811,G2,Delta,G,Gunnison,G1,,x,
Forrest Ditch Company,,x,19871110642,G,N,1946-04-25,G,,N,,x,,x,,,x,,x,,x,,x,
Fort Bent Ditch Company,,x,20091085502,G,N,2009-02-09,G,,N,,x,,x,38.081637,-102.626476,G2,Lamar,G,Arkansas,G1,,x,
Fort Logan Lateral Ditch Company,FtLoganLDC,G,19881020819,G,N,1988-03-23,G,,N,,x,,x,39.641059,-105.068064,G2,Denver,G,Metro,G1,,x,
Fort Morgan Reservoir and Irrigation Company,FtMorganRIC,G,19871505749,G,N,1983-01-21,G,,N,,x,,x,40.249755,-103.798785,G2,Fort Morgan,G,South Platte,G1,,x,
Four Creek Ditch Company,FourCrkDC,G,19961152100,G,N,1996-11-21,G,,N,,x,,x,39.743633,-104.985467,G2,Denver,G,Metro,G1,,x,
Foxhill Estate Ditch Company,,x,,x,Y,,x,,N,,x,,x,,,x,Denver,G,,x,,x,
Foxtail Estates Ditch Co.,FoxtailEstatesDC,G,19931002570,G,N,1993-01-11,G,,N,,x,,x,39.745509,-104.989543,G2,Denver,G,Metro,G1,,x,
Foy & Tomlinson/L.L. Hall Mutual Ditch Company,,x,19991199399,G,N,1999-10-25,G,2008-03-06,G,,x,,x,38.778444,-108.838506,G2,Whitewater,G,Southwest,G1,,x,
Franklin Pipe Line Company,,x,19871109700,G,N,1945-09-11,G,,N,,x,,x,,,x,,x,,x,,x,
Free Church Lateral Ditch Company,,x,19871109409,G,N,1945-05-22,G,,N,,x,,x,,,x,,x,,x,,x,
Fremont County Irrigating Ditch Company,,x,19871006449,G,N,1884-06-30,G,,N,,x,,x,38.393906,-105.117496,G2,Florence,G,Arkansas,G1,,x,
Fremont Pass Ditch Company,,x,20091386265,G,N,2009-07-21,G,2009-07-21,G,,x,,x,39.710773,-104.812497,G2,Aurora,G,Metro,G1,,x,
Fremont Pass Ditch Company,,x,20091387469,G,N,2009-07-21,G,,N,,x,,x,39.710773,-104.812497,G2,Aurora,G,Metro,G1,,x,
Fruit Growers Ditch And Reservoir Company,,x,19871027412,G,N,1898-11-23,G,,N,,x,,x,,,x,,x,,x,,x,
Fruit Ridge Ditch Company,,x,19871060763,G,N,1915-03-08,G,,N,,x,,x,,,x,,x,,x,,x,
Fruitland Irrigation Company,,x,19871045895,G,Y,1901-09-04,G,,N,,x,,x,38.798979,-107.724624,G2,Hotchkiss,G,Gunnison,G1,,x,
Fruitland Water Company,,x,,x,Y,,x,,N,,x,,x,,,x,Canon City,G,,x,,x,
Fruitvale Lateral And Waste Ditch Association,,x,19871051851,G,N,1910-04-23,G,,N,,x,,x,39.082159,-108.528540,G2,Grand Junction,G,Colorado,G1,,x,
Fulton Extension Ditch Company,FultonExtensionDC,G,20021258139,G,N,2002-09-18,G,,N,,x,,x,39.716905,-104.949571,G2,Denver,G,Metro,G1,,x,
Fulton Irrigating Ditch Company,,x,19871001316,G,N,1876-05-19,G,,N,,x,,x,,,x,,x,,x,,x,
Fulton Seepage Ditch Company,,x,19871051858,G,N,1910-04-25,G,,N,,x,,x,,,x,,x,,x,,x,
Garcia Ditch Company,,x,19871118340,G,N,1950-06-10,G,,N,,x,,x,,,x,,x,,x,,x,
Gard Lateral Ditch Company,,x,19871038827,G,N,1904-06-10,G,,N,,x,,x,,,x,,x,,x,,x,
Gardeners Ditch Land Development Company,GardenersDC,G,19871754813,G,N,1987-10-06,G,2005-03-31,G,,x,,x,39.620009,-104.925961,G2,Greenwood Village,G,Metro,G1,,x,
Gardeners' Mutual Ditch Company,GardenersMutualDC,G,19871061084,G,N,1915-05-17,G,,N,,x,,x,39.751282,-104.994437,G2,Denver,G,Metro,G1,,x,
Garfield Heights Mutual Ditch & Reservoir Company,,x,19871077269,G,N,1923-03-08,G,,N,,x,,x,,,x,,x,,x,,x,
Garnet Ditch And Reservoir Company,,x,19871034873,G,N,1902-06-18,G,,N,,x,,x,,,x,,x,,x,,x,
Garnet Lateral Ditch,,x,19871077968,G,N,1923-07-16,G,,N,,x,,x,,,x,,x,,x,,x,
Garrigues Lateral Company,,x,19871075022,G,N,1922-01-21,G,,N,,x,,x,,,x,,x,,x,,x,
Geneva Creek Reservoir Company,,x,19901087954,G,N,1990-09-17,G,2003-07-01,G,,x,,x,,,x,,x,,x,,x,
Geoff's Ditch LLC,GeoffsDC,G,20091439984,G,N,2009-08-17,G,,N,,x,,x,40.439491,-104.729998,G2,Greeley,G,South Platte,G1,,x,
German Ditch And Reservoir Company,,x,19871007282,G,N,1886-03-13,G,,N,,x,,x,,,x,,x,,x,,x,
Gianinetti Subdivision Ditch Company,,x,19901035932,G,N,1990-04-26,G,,N,,x,,x,39.408761,-107.215680,G2,Carbondale,G,Colorado,G1,,x,
Gibralter Ditch Company,,x,19871137077,G,N,1955-12-27,G,,N,,x,,x,,,x,,x,,x,,x,
Gilcrest Lateral Company,,x,19871074896,G,N,1922-01-05,G,,N,,x,,x,,,x,,x,,x,,x,
"Gilcrest Reservoir, L.L.C.",GilcrestRes,G,20081646900,G,N,2008-12-13,G,,N,,x,,x,39.621009,-104.891916,G2,Greenwood Village,G,Metro,,,x,
Gipe Ditch Company,,x,19871166385,G,N,1963-05-07,G,,N,,x,,x,,,x,,x,,x,,x,
Glen Creighton Mutual Ditch And Reservoir Company,,x,19871077074,G,N,1923-02-10,G,,N,,x,,x,,,x,,x,,x,,x,
Glenwood Ditch LLC,,x,19961051278,G,N,1996-04-15,G,2000-09-25,G,,x,,x,39.545969,-107.325551,G2,Glenwood Springs,G,Colorado,G1,,x,
GMDD Ditch Company,,x,20011106934,G,N,2001-05-25,G,,N,,x,,x,37.955943,-104.772769,G2,Pueblo,G,Arkansas,G1,,x,
Godding Ditch Company,GoddingDC,G,19871053541,G,N,1911-01-23,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Godfrey Ditch Company,GodfreyDC,G,19871051186,G,Y,1910-02-05,G,,N,,x,,x,40.347161,-104.746804,G2,La Salle,G,South Platte,G1,,x,
Golden Canal And Reservoir Company,GoldenCRC,G,19871053933,G,N,1911-03-20,G,,N,,x,,x,39.754825,-105.141023,G2,Lakewood,G,Metro,,,x,
Gonzales Ditch Company,,x,19871077466,G,N,1923-04-11,G,,N,,x,,x,,,x,,x,,x,,x,
Good Enough Reservoir Company,,x,19871080530,G,N,1924-11-29,G,,N,,x,,x,,,x,,x,,x,,x,
Goodale Mutual Ditch Company,,x,19871072169,G,N,1920-06-24,G,,N,,x,,x,,,x,,x,,x,,x,
Goodhue Ditch & Reservoir Company,GoodhueDRC,G,19871115861,G,Y,1949-02-04,G,,N,,x,,x,39.973646,-105.169120,G2,Louisville,G,South Platte,G1,,x,
Goodnight Avenue Irrigation Company,,x,19871064279,G,N,1917-02-27,G,,N,,x,,x,38.259192,-104.664060,G2,Pueblo,G,Arkansas,G1,,x,
Gore Lateral Co.,,x,19871120426,G,N,1951-07-19,G,,N,,x,,x,,,x,,x,,x,,x,
Grable Lateral Association,,x,19871116664,G,N,1949-06-28,G,,N,,x,,x,,,x,,x,,x,,x,
Grable Lateral Company,,x,19871090242,G,N,1929-07-16,G,,N,,x,,x,,,x,,x,,x,,x,
Graham Ditch Company,,x,19871009876,G,N,1884-01-17,G,,N,,x,,x,,,x,,x,,x,,x,
Graham Drainage Ditch Company,,x,19871047679,G,N,1908-08-05,G,,N,,x,,x,,,x,,x,,x,,x,
Graham Lateral Company,,x,19871070076,G,N,1919-09-04,G,,N,,x,,x,,,x,,x,,x,,x,
Granada Irrigation Company,,x,19871110387,G,N,1946-03-09,G,,N,,x,,x,38.087108,-102.420093,G2,Lamar,G,Arkansas,G1,,x,
Granby Ditch And Reservoir Company,,x,19871016928,G,N,1894-04-16,G,,N,,x,,x,,,x,,x,,x,,x,
Grand County Irrigated Land Company,,x,19871057099,G,N,1912-11-12,G,,N,,x,,x,40.085441,-105.934716,G2,Granby,G,Colorado,G1,,x,
Grand County Mutual Ditch And Reservoir Company,,x,20081042682,G,N,2008-01-22,G,,N,,x,,x,39.895108,-105.768527,G2,Winter Park,G,Colorado,G1,,x,
Grand Mesa Water Users Association,,x,,x,Y,,x,,N,,x,,x,,,x,Cedaredge,G,,x,,x,
Grand River Ditch Company,,x,19871064301,G,N,1917-03-01,G,,N,,x,,x,,,x,,x,,x,,x,
Grand Valley Irrigation Company,,x,19871016509,G,Y,1894-01-29,G,,N,,x,,x,39.104005,-108.570782,G2,Grand Junction,G,Colorado,G1,,x,
Grand Valley Irrigation Company Shareholder/Owners,,x,19871683383,G,N,1986-07-30,G,,N,,x,,x,39.068715,-108.566211,G2,Grand Junction,G,Colorado,G1,,x,
Grand Valley Water Users Association,,x,,x,Y,,x,,N,,x,,x,,,x,Grand Junction,G,,x,,x,
Grand View Canal Irrigation Company,,x,19871032923,G,N,1922-07-25,G,,N,,x,,x,38.703877,-107.608947,G2,Crawford,G,Gunnison,G1,,x,
Grand View Irrigation Company,,x,19871039429,G,Y,1904-10-28,G,,N,,x,,x,38.439927,-105.187865,G2,Canyon City,G,Arkansas,G1,,x,
Grant Ditch Company,,x,19871035267,G,N,1902-09-08,G,,N,,x,,x,,,x,,x,,x,,x,
Grant Reservoir Company,GrantRC,G,19871285769,G,N,1975-04-24,G,,N,,x,,x,39.630000,-105.320000,G2,Evergreen,G,Metro,,,x,
Grapevine Lateral Ditch Company,GrapevineLDC,G,19871005616,G,N,1883-04-27,G,,N,,x,,x,40.424654,-104.715577,G2,Greeley,G,South Platte,G1,,x,
Gray Lateral Ditch Company,GrayLDC,G,19871067167,G,N,1918-04-09,G,,N,,x,,x,40.279547,-104.941604,G2,Johnstown,G,South Platte,G1,,x,
Great Western Reservoir And Canal Company,,x,19871073577,G,N,1921-03-17,G,,N,,x,,x,,,x,,x,,x,,x,
"Greeley Amalgamated Drainage Ditch Company, LLC",GreeleyAmalgamatedDrainageDC,G,20111690094,G,N,2011-12-15,G,2017-08-01,G,,x,,x,40.148848,-105.101728,G2,Longmont,G,South Platte,G1,,x,
Greeley and Loveland Irrigation Company,GreeleyLovelandIC,G,19871029757,G,N,1900-02-01,G,,N,,x,,x,40.424654,-104.715577,G2,Greeley,G,South Platte,G1,,x,
Greeley Irrigation Company,GreeleyIC,G,19871005059,G,Y,1882-08-02,G,,N,,x,,x,40.389487,-104.727947,G2,Greeley,G,South Platte,G1,,x,
Green Acres Irrigation Company,GreenAcresIC,G,19871261990,G,N,1973-08-31,G,,N,,x,,x,40.421887,-104.770772,G2,Greeley,G,South Platte,G1,,x,
Green Ditch Company,GreenDC,G,19721238635,G,N,1972-02-14,G,,N,,x,,x,40.163019,-105.105514,G2,Longmont,G,South Platte,G1,,x,
Green Lawn Reservoir Company,,x,19871051444,G,N,1910-03-08,G,,N,,x,,x,,,x,,x,,x,,x,
Green Meadows Water & Ditch Inc.,,x,20051324068,G,N,2005-09-22,G,,N,,x,,x,38.031623,-104.945099,G2,Beulah,G,Arkansas,G1,,x,
Green Mountain Irrigation Company,GreenMtnIC,G,19871107830,G,N,1943-05-22,G,,N,,x,,x,39.721827,-105.103830,G2,Lakewood,G,Metro,G1,,x,
Green Valley Ditch Company,,x,19871043419,G,N,1906-10-08,G,,N,,x,,x,,,x,,x,,x,,x,
Greenwood Reservoir Company,,x,19871133023,G,N,1956-07-09,G,,N,,x,,x,,,x,,x,,x,,x,
Grimes-Brooks Reservoir Company,,x,19871126362,G,N,1954-07-22,G,,N,,x,,x,39.914611,-106.725963,G2,Mc Coy,G,Colorado,,,x,
Grove Creek Reservoir Company,,x,19881079064,G,N,1988-08-11,G,,N,,x,,x,38.741800,-108.072000,G2,Delta,G,Gunnison,,,x,
Guadalupe Main Ditch Company,,x,19871003833,G,N,1881-06-03,G,,N,,x,,x,,,x,,x,,x,,x,
H. H. Ditch Company,,x,19871055262,G,Y,1911-11-16,G,,N,,x,,x,37.167711,-108.145270,G2,Hesperus,G,Southwest,G1,,x,
"Hadley Number Two Ditch Co. , Inc.",,x,19991145521,G,N,1999-08-03,G,,N,,x,,x,38.824414,-107.621011,G2,Paonia,G,Gunnison,G1,,x,
Hairpin Lateral Ditch Company,,x,19871054775,G,N,1911-08-17,G,,N,,x,,x,,,x,,x,,x,,x,
Haldi Ditch Company,HaldiDC,G,19871473041,G,N,1982-04-23,G,,N,,x,,x,40.113914,-105.282409,G2,Boulder,G,South Platte,G1,,x,
Hall Ditch Company,,x,19961116044,G,N,1996-09-05,G,,N,,x,,x,39.190100,-108.065781,G2,Molina,G,Colorado,G1,,x,
Hallenbeck No.2 Reservoir Co.,,x,19871111983,G,N,1947-01-18,G,,N,,x,,x,,,x,,x,,x,,x,
Handy Ditch Company,HandyDC,G,19871001590,G,Y,1878-01-04,G,,N,,x,,x,40.308317,-105.081092,G2,Berthoud,G,South Platte,G1,,x,
Hannah Mutual Ditch Company,,x,20031142212,G,N,2003-05-02,G,,N,,x,,x,39.227379,-107.996805,G2,Colbran,G,Colorado,G1,,x,
Hanson Reservoir Company,,x,19871947643,G,N,1908-07-29,G,,N,,x,,x,,,x,,x,,x,,x,
Hardscrabble No. 1 Ditch Company,,x,20051323301,G,N,2005-08-25,G,,N,,x,,x,38.327279,-105.060562,G2,Florence,G,Arkansas,G1,,x,
Hardtack Ditch Company,,x,19871077184,G,N,1923-02-26,G,,N,,x,,x,,,x,,x,,x,,x,
Harmony Ditch Company,,x,19871045461,G,N,1907-08-13,G,,N,,x,,x,,,x,,x,,x,,x,
Harriman Ditch Company,HarrimanDC,G,19871013094,G,N,1892-02-23,G,,N,,x,,x,39.732937,-105.009534,G2,Denver,G,Metro,G1,,x,
Harriman Mutual Reservoir Company,HarrimanMutualRC,G,20041446294,G,N,2004-12-22,G,,N,,x,,x,39.597061,-105.137186,G2,Littleton,G,Metro,,,x,
Harris And Reed Ditch Company,,x,19891041138,G,N,1989-04-26,G,,N,,x,,x,39.373911,-107.083054,G2,Basalt,G,Colorado,G1,,x,
Harris Park Irrigation Company,HarrisParkIC,G,19871035503,G,N,1902-10-25,G,2014-02-01,G,,x,,x,39.856827,-105.069645,G2,Westminster,G,Metro,G1,,x,
Harris Reservoir LLC,,x,20031056573,G,N,2003-02-19,G,2011-04-26,G,,x,,x,39.532564,-107.326113,G2,Glenwood Springs,G,Colorado,,,x,
Harry Lateral Ditch Company,HarryLDC,G,19871157284,G,N,1961-11-24,G,,N,,x,,x,40.350184,-104.958025,G2,Johnstown,G,South Platte,G1,,x,
Harry Lateral East Extension Ditch Company,HarryEastExtensionLDC,G,19871114202,G,N,1948-03-08,G,2004-01-01,G,,x,,x,40.478291,-104.986622,G2,Fort Collins,G,South Platte,G1,,x,
Hart & Kelly Lateral Company,,x,19871088119,G,N,1928-06-23,G,,N,,x,,x,,,x,,x,,x,,x,
Hartland Ditch Company,,x,19871024119,G,N,1883-02-07,G,,N,,x,,x,,,x,,x,,x,,x,
Hawkeye Lateral Ditch Company,,x,19871039954,G,N,1905-02-06,G,,N,,x,,x,,,x,,x,,x,,x,
"Hay Gulch Ditch, Inc",,x,19871126287,G,N,1954-07-13,G,,N,,x,,x,,,x,,x,,x,,x,
Hayden Ditch Company,,x,19871032630,G,N,1901-05-14,G,,N,,x,,x,,,x,,x,,x,,x,
Hayes Teague Ditch Company,,x,20031279058,G,N,2003-08-29,G,,N,,x,,x,38.020604,-107.673563,G2,Ridgway,G,Gunnison,G1,,x,
Headgate 10 Ditch Company,,x,20051153089,G,N,2005-04-12,G,,N,,x,,x,39.560410,-107.652393,G2,Silt,G,Colorado,G1,,x,
Headgate 135 Lateral Inc.,,x,,x,Y,,x,,N,,x,,x,,,x,Grand Junction,G,,x,,x,
Headgate 19 Ditch Company,,x,20051153078,G,N,2005-04-12,G,,N,,x,,x,39.562201,-107.652401,G2,Silt,G,Colorado,G1,,x,
Headgate 83 Ditch Inc,,x,20041046547,G,N,2004-02-09,G,,N,,x,,x,39.554451,-107.689512,G2,Rifle,G,Colorado,G1,,x,
Hek Headgate #22 Lateral Ditch LLC,HekHeadgateNo22LDC,G,20101307255,G,N,2010-05-28,G,,N,,x,,x,39.793550,-105.146426,G2,Arvada,G,Metro,G1,,x,
Henry Bolen Ditch Company,,x,20031218819,G,N,2003-07-08,G,,N,,x,,x,37.311672,-108.361935,G2,Mancos,G,Southwest,G1,,x,
"Henry Lee Lateral Ditch, Inc.",,x,19871096811,G,N,1933-07-31,G,,N,,x,,x,,,x,,x,,x,,x,
Hermosa Company Ditch,,x,20091547255,G,N,2010-03-27,G,,N,,x,,x,37.414266,-107.839504,G2,Durango,G,Southwest,G1,,x,
Hickory Jackson Ditch Company,,x,19871008757,G,N,1888-06-11,G,,N,,x,,x,37.473279,-105.849933,G2,Alamosa,G,Rio Grande,G1,,x,
Hieland Ditch Company,,x,19871216402,G,N,1970-02-26,G,,N,,x,,x,38.350428,-107.796940,G2,Montrose,G,Gunnison,G1,,x,
High Country Ditch Specialists LLC,,x,20051304285,G,N,2005-08-09,G,2008-09-12,G,,x,,x,39.210884,-107.961328,G2,Colbran,G,Colorado,G1,,x,
Highland Ditch Company,HighlandDC,G,19871000986,G,Y,1874-04-13,G,,N,,x,,x,40.205150,-104.973853,G2,Longmont,G,South Platte,G1,,x,
Highland Irrigation Company,,x,19871059573,G,N,1914-04-28,G,2002-08-01,G,,x,,x,,,x,,x,,x,,x,
Highland Lake Lateral Ditch Company,HighlandLakeLDC,G,19871008105,G,Y,1887-07-11,G,,N,,x,,x,40.203186,-104.973308,G2,Longmont,G,South Platte,G1,,x,
Highland Lake Reservoir Company,HighlandLakeRC,G,19871029541,G,N,1900-01-02,G,,N,,x,,x,40.196935,-105.108250,G2,Longmont,G,South Platte,,,x,
Highland Lateral Company,,x,19871059294,G,N,1914-02-28,G,,N,,x,,x,,,x,,x,,x,,x,
Highland Park Lateral Ditch And Drainage Company,,x,19871121314,G,N,1952-02-08,G,,N,,x,,x,,,x,,x,,x,,x,
Highline Ditch & Enlargement Company,,x,19871042552,G,N,1906-04-30,G,,N,,x,,x,,,x,,x,,x,,x,
Highline-Buzzard Ditch Company,,x,19901073108,G,Y,1990-07-06,G,,N,,x,,x,39.247018,-107.976512,G2,Colbran,G,Colorado,G1,,x,
Hill & Brush Ditch Company,,x,19871961221,G,N,1915-06-22,G,,N,,x,,x,,,x,,x,,x,,x,
Hillcrest Ditch And Reservoir Company,HillcrestDRC,G,19871067501,G,N,1918-05-27,G,,N,,x,,x,39.751282,-104.994437,G2,Denver,G,Metro,G1,,x,
Hillcrest Ditch Company,,x,19871111722,G,N,1946-12-02,G,,N,,x,,x,39.086154,-108.569067,G2,Grand Junction,G,Colorado,G1,,x,
Hillsborough Extension Ditch Co.,HillsboroughExtensionDC,G,19871113483,G,N,1947-10-30,G,,N,,x,,x,40.335838,-104.913300,G2,Johnstown,G,South Platte,G1,,x,
Hillside Estates Irrigation Co. LLC,HillsideEstatesIC,G,20071444994,G,N,2007-09-27,G,,N,,x,,x,40.094909,-105.164435,G2,Niwot,G,South Platte,G1,,x,
Hillside Irrigation Company,,x,19871405548,G,N,1980-06-20,G,,N,,x,,x,39.104536,-108.682300,G2,Grand Junction,G,Colorado,G1,,x,
Hillside Lateral Company,,x,19871061116,G,N,1915-05-26,G,,N,,x,,x,,,x,,x,,x,,x,
Hilltop Ditch Company,,x,19871431656,G,N,1981-04-09,G,,N,,x,,x,39.099573,-108.547596,G2,Grand Junction,G,Colorado,G1,,x,
Hodgson Ditch Operating Association,HodgsonDA,G,19871108852,G,N,1944-10-11,G,,N,,x,,x,39.732937,-105.009534,G2,Denver,G,Metro,G1,,x,
Hoehne Ditch Company,,x,19871050852,G,N,1909-12-20,G,,N,,x,,x,37.282640,-104.353304,G2,Trinidad,G,Arkansas,G1,,x,
Holbrook Mutual Irrigating Company,,x,19871124609,G,N,1953-11-06,G,,N,,x,,x,38.082821,-103.588081,G2,Rocky Ford,G,Arkansas,G1,,x,
Holita Ditch And Reservoir Company,,x,19871105238,G,N,1940-04-18,G,,N,,x,,x,,,x,,x,,x,,x,
Holland Ditch Company,,x,19871024729,G,N,1897-06-01,G,,N,,x,,x,,,x,,x,,x,,x,
Holly Lateral Ditch Company,,x,19871051526,G,N,1910-03-17,G,,N,,x,,x,,,x,,x,,x,,x,
Holy Terror Reservoir And Ditch Company,,x,19871005469,G,N,1940-07-22,G,,N,,x,,x,,,x,,x,,x,,x,
Home Supply Ditch Company Inc.,,x,20081228232,G,N,2008-04-25,G,,N,,x,,x,39.362068,-107.027915,G2,Basalt,G,Colorado,G1,,x,
Home Supply Extension Ditch Company,HomeSupplyExtensionDC,G,19871059650,G,N,1914-05-18,G,,N,,x,,x,40.335838,-104.913300,G2,Johnstown,G,South Platte,G1,,x,
Home Supply Extension Ditch Company,,x,19871959650,G,N,1914-05-18,G,2001-06-11,G,,x,,x,,,x,,x,,x,,x,
Hope Ditch Company,HopeDC,G,19931068895,G,N,1993-07-02,G,,N,,x,,x,39.995693,-104.956775,G2,Brighton,G,Metro,G1,,x,
Horse Mountain Ditch Company LLC,,x,20101373403,G,N,2010-07-01,G,,N,,x,,x,38.442840,-107.871887,G2,Montrose,G,Gunnison,G1,,x,
Horse Mountain Irrigation Company,,x,20101370128,G,N,2010-06-30,G,,N,,x,,x,38.477184,-107.873757,G2,Montrose,G,Gunnison,G1,,x,
Hot Spring Ditch Company,,x,20041326737,G,N,2004-09-20,G,,N,,x,,x,40.474494,-106.825617,G2,Steamboat Springs,G,Yampa,G1,,x,
Howard Ditch Company,HowardDC,G,19871018151,G,N,1895-02-16,G,,N,,x,,x,40.167998,-105.101547,G2,Longmont,G,South Platte,G1,,x,
Howard Lateral Ditch Company,HowardLDC,G,19871068939,G,N,1919-03-05,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Hudson Ditch And Reservoir Company,HudsonDRC,G,19871059876,G,N,1914-07-14,G,,N,,x,,x,39.985791,-104.790846,G2,Brighton,G,Metro,G1,,x,
Hudson Ditch And Reservoir Company,,x,19871009187,G,N,1889-01-14,G,,N,,x,,x,,,x,,x,,x,,x,
Huerfano-Cucharas Irrigation Company,HuerfanoCucharasIC,G,19871109488,G,Y,1944-02-17,G,,N,,x,,x,39.661734,-104.860168,G2,Aurora,G,Metro,G1,,x,
Huerfano-Nepesta Ditch & Reservoir Company,,x,19871096313,G,N,1933-03-27,G,,N,,x,,x,,,x,,x,,x,,x,
Huston Reservoir Company,,x,19871079328,G,N,1924-04-10,G,,N,,x,,x,,,x,,x,,x,,x,
"Idaho And Central Ditch And Pipeline Company, Inc.",,x,19911043958,G,N,1991-06-11,G,2000-04-01,G,,x,,x,,,x,,x,,x,,x,
Ide & Starbird Reservoir Company,IdeStarbirdRC,G,19871041409,G,N,1905-11-13,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,,,x,
Iliff & Platte Valley Ditch Company,,x,19871006386,G,N,1884-05-23,G,,N,,x,,x,,,x,,x,,x,,x,
Independent Lateral Ditch Company,,x,19871067213,G,N,1918-04-15,G,,N,,x,,x,,,x,,x,,x,,x,
Independent Reservoir Company,,x,19871040238,G,N,1905-03-23,G,,N,,x,,x,,,x,,x,,x,,x,
"Indian Village Irrigation Company And Homeowners Association, Inc.",,x,19941098164,G,N,1994-08-31,G,,N,,x,,x,39.076579,-108.528415,G2,Grand Junction,G,Colorado,G1,,x,
"Interlocken Irrigation Company, Inc.",InterlockenIC,G,20161176726,G,N,2016-03-09,G,,N,,x,,x,39.898042,-105.054279,G2,Westminster,G,Metro,G1,,x,
Ish Reservoir Company,IshRC,G,19871040442,G,N,1905-04-27,G,,N,,x,,x,40.336927,-104.912197,G2,Johnstown,G,South Platte,,,x,
Island Ditch Company,,x,19971164480,G,N,1997-10-14,G,,N,,x,,x,39.402262,-107.115757,G2,Carbondale,G,Colorado,G1,,x,
I-V-A View Subdivision Homeowners Association And Ditch Company,,x,20051125785,G,N,2005-03-24,G,,N,,x,,x,39.243447,-107.952339,G2,Colbran,G,Colorado,G1,,x,
J. & M. Hughes Ditch Company,,x,19931041154,G,N,1993-04-19,G,,N,,x,,x,39.539603,-107.325866,G2,Glenwood Springs,G,Colorado,G1,,x,
J. B. Ditch Company,,x,19871971723,G,N,1920-04-21,G,,N,,x,,x,,,x,,x,,x,,x,
Jackson Ditch Company,JacksonDC,G,19871017028,G,N,1894-05-08,G,,N,,x,,x,40.580760,-105.034579,G2,Fort Collins,G,South Platte,G1,,x,
Jackson Lake Reservoir And Irrigation Company,JacksonLakeRIC,G,19871505748,G,N,1983-01-21,G,,N,,x,,x,40.249755,-103.798785,G2,Fort Morgan,G,South Platte,G1,,x,
